Region,Year,Quarter,Total_Sales,Total_Profit,Order_Count,Customer_Count
Africa,2011,1,24551.94,3125.9100000000003,73,71
Africa,2011,2,24952.179,-369.4410000000001,93,86
Africa,2011,3,39421.848,4698.798,97,90
Africa,2011,4,38261.307,3488.8470000000007,125,115
Africa,2012,1,18736.869,1603.179,83,81
Africa,2012,2,34430.226,2737.416000000001,91,87
Africa,2012,3,42288.87,4118.340000000001,134,124
Africa,2012,4,49024.74,3450.0000000000005,123,113
Africa,2013,1,51722.634,7629.894,115,107
Africa,2013,2,39292.212,4303.962,137,125
Africa,2013,3,73449.684,8785.314,191,171
Africa,2013,4,64604.262,5967.942000000001,177,167
Africa,2014,1,42164.418,4198.338000000002,141,134
Africa,2014,2,73349.592,11694.492,216,191
Africa,2014,3,73194.77100000001,11131.611,212,180
Africa,2014,4,94327.659,12307.029,266,229
Canada,2011,1,2408.1600000000003,539.7,7,7
Canada,2011,2,1225.89,204.03,9,9
Canada,2011,3,2585.37,801.57,12,12
Canada,2011,4,2289.69,261.78,8,8
Canada,2012,1,551.91,128.48999999999998,3,3
Canada,2012,2,8085.57,2724.21,20,19
Canada,2012,3,4055.22,1097.46,14,14
Canada,2012,4,3404.1,937.6800000000001,12,12
Canada,2013,1,2841.51,699.6,14,14
Canada,2013,2,2311.56,536.22,13,13
Canada,2013,3,7491.51,2408.37,16,14
Canada,2013,4,6516.57,1485.27,15,15
Canada,2014,1,5622.96,1917.06,13,13
Canada,2014,2,1406.94,396.51,12,12
Canada,2014,3,5065.41,1112.28,19,19
Canada,2014,4,11065.800000000001,2567.16,18,18
Caribbean,2011,1,5890.5268,794.6068,21,21
Caribbean,2011,2,14691.4494,1088.0494,38,38
Caribbean,2011,3,10855.876320000001,-135.18368000000035,24,23
Caribbean,2011,4,25605.57644,2611.43644,70,65
Caribbean,2012,1,5024.8946000000005,315.03459999999995,16,16
Caribbean,2012,2,15931.59756,663.6775599999997,51,47
Caribbean,2012,3,14027.527,2616.607,39,39
Caribbean,2012,4,29163.55776,5110.93776,69,66
Caribbean,2013,1,9618.62728,495.52728,36,36
Caribbean,2013,2,28776.40076,2135.40076,59,56
Caribbean,2013,3,21644.89824,1652.9782400000001,74,69
Caribbean,2013,4,37558.37308,4689.63308,87,82
Caribbean,2014,1,11995.55464,1742.1946400000002,33,33
Caribbean,2014,2,19796.73144,1432.3714400000001,71,66
Caribbean,2014,3,27578.34196,4135.00196,70,68
Caribbean,2014,4,46120.92776,5223.04776,98,93
Central,2011,1,72513.85104,8096.619239999999,148,141
Central,2011,2,104764.11344,10607.64224,229,199
Central,2011,3,162204.67458,14299.347979999995,257,216
Central,2011,4,178019.3049,19674.863299999997,343,283
Central,2012,1,82556.10344,8778.95074,179,158
Central,2012,2,141452.41698,12315.250479999997,264,224
Central,2012,3,197077.3723,27102.4089,339,286
Central,2012,4,180959.2344,15420.696999999998,387,327
Central,2013,1,115952.44414,10138.54414,235,205
Central,2013,2,189174.82992,17455.783919999998,343,272
Central,2013,3,194423.38022,21973.78302,425,344
Central,2013,4,264164.47896,47816.51906,512,392
Central,2014,1,155797.72128,19980.302779999998,296,241
Central,2014,2,203926.82524,19041.620039999998,424,331
Central,2014,3,260063.72282,29426.87262,507,388
Central,2014,4,319465.03828,29251.987979999998,644,464
Central Asia,2011,1,11251.074,2215.284,20,19
Central Asia,2011,2,25995.465,4382.474999999999,40,40
Central Asia,2011,3,27520.605,4004.805,46,46
Central Asia,2011,4,58470.882,12243.882,64,60
Central Asia,2012,1,31021.019999999997,4851.84,28,28
Central Asia,2012,2,45591.372,8548.212,65,65
Central Asia,2012,3,27880.263,4274.553,59,59
Central Asia,2012,4,69640.746,11302.476,84,82
Central Asia,2013,1,26758.026,6416.406,36,34
Central Asia,2013,2,48598.200000000004,9313.8,73,70
Central Asia,2013,3,72709.731,8363.690999999999,76,72
Central Asia,2013,4,48248.924999999996,9015.285,86,85
Central Asia,2014,1,46611.216,6474.5160000000005,48,45
Central Asia,2014,2,57273.276,9908.766,89,83
Central Asia,2014,3,74142.702,14414.442000000001,93,87
Central Asia,2014,4,81113.064,16749.754,119,113
EMEA,2011,1,29841.732,3106.1820000000002,61,59
EMEA,2011,2,28027.395,-383.8649999999999,100,100
EMEA,2011,3,36764.334,876.3240000000006,132,121
EMEA,2011,4,41786.859000000004,1681.3890000000006,118,109
EMEA,2012,1,30153.804,956.2740000000003,96,90
EMEA,2012,2,44959.227,1798.9470000000003,117,112
EMEA,2012,3,51297.522,3153.4320000000002,156,140
EMEA,2012,4,37003.812,-489.07799999999895,144,131
EMEA,2013,1,28780.284,3338.6340000000005,112,107
EMEA,2013,2,54118.611,6582.831,165,150
EMEA,2013,3,58891.632,-3349.0379999999996,203,178
EMEA,2013,4,62850.156,4025.6160000000004,197,175
EMEA,2014,1,62070.54,5769.450000000002,158,145
EMEA,2014,2,67535.619,2789.799000000001,211,193
EMEA,2014,3,95555.574,8346.864000000001,294,249
EMEA,2014,4,76524.21,5694.210000000001,256,222
East,2011,1,6579.338,-785.7783,26,26
East,2011,2,21064.165,1514.0124999999998,53,50
East,2011,3,33443.383,5823.7562,84,81
East,2011,4,67593.571,10507.619099999998,98,93
East,2012,1,17145.868,1647.2023999999994,38,38
East,2012,2,22703.208,4358.5752,59,59
East,2012,3,50777.423,5774.851999999999,86,83
East,2012,4,65705.558,9310.383399999999,113,100
East,2013,1,24134.003,3821.8705999999993,59,59
East,2013,2,52807.419,8663.989599999997,89,86
East,2013,3,37527.726,3314.6459999999984,97,88
East,2013,4,66060.162,4376.305099999998,128,119
East,2014,1,17340.924,1760.917599999999,61,59
East,2014,2,29978.0,5324.375499999999,97,95
East,2014,3,67711.693,5769.0499,129,117
East,2014,4,98208.799,20341.003199999996,184,167
North,2011,1,24122.0712,4852.4312,48,47
North,2011,2,47463.1072,7739.8172,100,97
North,2011,3,62287.767,10850.386999999999,123,115
North,2011,4,79064.9318,12423.5918,148,137
North,2012,1,43636.36932,5393.97932,84,80
North,2012,2,76940.32396,14225.81396,145,136
North,2012,3,84026.987,14001.377,133,124
North,2012,4,95627.29172,17284.77172,186,169
North,2013,1,65179.39568,14569.33568,93,91
North,2013,2,60679.70944,9912.64944,145,136
North,2013,3,83783.4148,12917.764799999999,191,175
North,2013,4,96190.46488,13767.68488,202,180
North,2014,1,67332.31852,6640.41852,132,126
North,2014,2,100308.46396,15561.45396,176,158
North,2014,3,124760.16364,18324.21364,233,204
North,2014,4,137297.8304,16253.8704,266,234
North Asia,2011,1,31704.858,7525.818,43,42
North Asia,2011,2,39259.229999999996,6498.09,39,39
North Asia,2011,3,47950.932,8244.882000000001,55,54
North Asia,2011,4,75611.643,13244.583,83,81
North Asia,2012,1,33354.24,6531.51,35,34
North Asia,2012,2,28745.256,3735.6359999999995,61,59
North Asia,2012,3,38724.564,8456.064,64,63
North Asia,2012,4,51533.271,9297.110999999999,81,75
North Asia,2013,1,32085.762,7310.622,41,38
North Asia,2013,2,61355.814,11720.274,77,74
North Asia,2013,3,75348.129,14828.169,97,90
North Asia,2013,4,68075.751,15415.221,97,92
North Asia,2014,1,49797.339,8813.949,66,64
North Asia,2014,2,49706.037,7771.557000000001,92,89
North Asia,2014,3,71672.73300000001,13501.443,100,92
North Asia,2014,4,93384.222,22683.492,119,107
Oceania,2011,1,25114.335000000003,2792.745,47,45
Oceania,2011,2,40725.336,7241.196,70,68
Oceania,2011,3,40792.641,1828.7309999999998,79,74
Oceania,2011,4,64786.248,9566.088,97,90
Oceania,2012,1,39013.671,1380.9809999999993,63,60
Oceania,2012,2,69541.728,14076.918,106,99
Oceania,2012,3,54044.297999999995,4761.108,89,81
Oceania,2012,4,87465.975,9456.314999999999,126,112
Oceania,2013,1,57967.002,7804.2119999999995,70,66
Oceania,2013,2,72878.553,9191.013,114,104
Oceania,2013,3,75618.381,10130.901,117,114
Oceania,2013,4,109806.558,10427.328,141,130
Oceania,2014,1,58335.51,3672.5399999999995,106,102
Oceania,2014,2,100038.483,12184.743,170,152
Oceania,2014,3,75753.657,3545.756999999999,136,126
Oceania,2014,4,128302.236,12028.536,213,182
South,2011,1,61810.24016,2275.719459999998,84,82
South,2011,2,70208.70676,4133.58336,147,132
South,2011,3,63200.29698,5155.67098,145,135
South,2011,4,88822.95212,6284.12872,199,180
South,2012,1,47583.52832,4951.447019999999,111,100
South,2012,2,69886.66858,10540.350579999998,162,144
South,2012,3,88331.58764,7089.357739999999,188,167
South,2012,4,122203.72692,8394.20962,278,236
South,2013,1,84505.2206,10524.6685,140,125
South,2013,2,108202.56152,7554.54452,212,186
South,2013,3,125443.94738,8913.12178,252,210
South,2013,4,125491.49508000001,12762.80148,285,239
South,2014,1,59547.6016,9486.7798,131,118
South,2014,2,123728.9499,14234.6611,286,240
South,2014,3,163294.05052,20962.21822,302,254
South,2014,4,198645.5068,7092.503299999999,396,306
Southeast Asia,2011,1,24986.309999999998,-279.99000000000024,54,52
Southeast Asia,2011,2,34950.5967,1570.9766999999993,50,49
Southeast Asia,2011,3,36321.3168,1043.3567999999998,72,69
Southeast Asia,2011,4,53803.7829,908.6528999999992,107,101
Southeast Asia,2012,1,27096.3687,1577.9186999999995,46,46
Southeast Asia,2012,2,41137.6356,1917.5255999999995,89,88
Southeast Asia,2012,3,51700.1502,775.4501999999987,89,86
Southeast Asia,2012,4,66228.77189999999,-1532.7681000000014,97,89
Southeast Asia,2013,1,41157.6642,-985.3458000000006,59,55
Southeast Asia,2013,2,76869.2718,1949.1617999999992,118,108
Southeast Asia,2013,3,55984.9419,348.6818999999998,103,97
Southeast Asia,2013,4,51118.146,1853.706,99,92
Southeast Asia,2014,1,61195.2618,598.6217999999994,86,86
Southeast Asia,2014,2,62171.383499999996,-2263.966500000001,123,111
Southeast Asia,2014,3,82904.4066,3635.5265999999992,137,127
Southeast Asia,2014,4,116797.1604,6734.8204,188,163
West,2011,1,15005.577000000001,1784.0287999999994,41,41
West,2011,2,25543.347,4274.833699999999,60,58
West,2011,3,49957.321,7583.109899999999,91,85
West,2011,4,57376.788,6423.718799999999,121,118
West,2012,1,23493.062,5277.8445999999985,44,44
West,2012,2,26187.6295,4008.292199999999,67,65
West,2012,3,33537.109000000004,3714.437499999999,90,83
West,2012,4,56748.449,7491.620399999999,137,128
West,2013,1,24317.015,2242.861999999999,49,48
West,2013,2,39774.351,4116.515899999999,91,88
West,2013,3,50719.611500000006,8504.780699999998,120,113
West,2013,4,72165.039,9095.778799999998,159,146
West,2014,1,51395.319,14055.2586,86,83
West,2014,2,44301.6775,3559.687199999997,110,107
West,2014,3,74785.641,15252.938699999999,149,137
West,2014,4,80149.888,11032.741099999997,196,174
